,ans(1000),ans(100),ans(10),ans(1),+/-
28370,1,1,7,8,0
28371,0,3,0,5,0
28372,1,8,0,0,0
28373,0,3,8,2,0
28374,0,7,4,6,0
28375,0,6,7,7,0
28376,1,2,1,7,0
28377,0,8,4,5,0
28378,0,8,6,8,0
28379,0,6,8,5,0
28380,0,7,6,7,0
28381,0,3,7,7,0
28382,1,1,1,3,0
28383,0,9,9,4,0
28384,0,9,6,3,0
28385,0,5,0,4,0
28386,1,1,2,9,0
28387,1,0,9,9,0
28388,1,4,2,9,0
28389,1,7,0,0,0
28390,0,8,5,0,0
28391,0,6,8,2,0
28392,1,1,7,0,0
28393,1,5,3,5,0
28394,0,9,9,5,0
28395,0,8,3,1,0
28396,0,7,9,0,0
28397,0,9,4,6,0
28398,0,9,2,1,0
28399,1,2,9,9,0
28400,0,6,7,7,0
28401,0,9,9,9,0
28402,0,9,7,2,0
28403,1,8,4,5,0
28404,0,9,2,1,0
28405,0,9,5,5,0
28406,1,3,3,2,0
28407,1,0,0,8,0
28408,1,0,4,3,0
28409,0,7,8,3,0
28410,1,2,9,4,0
28411,1,2,5,2,0
28412,0,1,7,6,0
28413,1,3,3,1,0
28414,0,9,3,7,0
28415,1,3,3,6,0
28416,0,4,7,6,0
28417,1,2,2,7,0
28418,0,2,0,4,0
28419,0,6,5,0,0
28420,1,1,0,3,0
28421,1,0,8,1,0
28422,1,3,0,4,0
28423,0,6,4,8,0
28424,1,1,0,4,0
28425,1,7,9,7,0
28426,1,7,1,4,0
28427,1,0,7,0,0
28428,0,7,3,7,0
28429,0,2,9,8,0
28430,1,1,4,3,0
28431,0,6,5,1,0
28432,0,4,5,6,0
28433,1,3,0,6,0
28434,1,4,7,5,0
28435,1,2,3,1,0
28436,1,6,2,2,0
28437,0,7,2,7,0
28438,0,9,6,4,0
28439,0,6,3,8,0
28440,1,1,5,7,0
28441,0,2,6,1,0
28442,1,8,9,8,0
28443,0,4,2,8,0
28444,0,8,7,8,0
28445,0,9,9,7,0
28446,0,6,7,6,0
28447,0,7,4,7,0
28448,1,2,5,0,0
28449,0,6,9,0,0
28450,1,1,2,5,0
28451,0,6,2,3,0
28452,1,3,2,6,0
28453,0,6,4,5,0
28454,0,2,2,2,0
28455,0,6,8,3,0
28456,1,4,4,7,0
28457,1,0,5,5,0
28458,0,7,1,4,0
28459,0,8,8,6,0
28460,0,7,2,8,0
28461,0,9,0,1,0
28462,1,8,7,6,0
28463,0,8,4,6,0
28464,1,3,9,8,0
28465,0,8,8,0,0
28466,1,0,3,1,0
28467,1,2,9,4,0
28468,0,3,1,9,0
28469,1,7,6,7,0
28470,1,3,0,5,0
28471,0,6,2,1,0
28472,1,4,4,9,0
28473,1,5,3,5,0
28474,0,9,0,2,0
28475,0,4,6,8,0
28476,1,3,9,1,0
28477,0,9,8,9,0
28478,0,9,3,0,0
28479,1,1,4,8,0
28480,1,6,1,6,0
28481,1,3,2,9,0
28482,0,7,5,4,0
28483,0,4,5,9,0
28484,1,4,4,3,0
28485,1,5,7,4,0
28486,0,8,6,2,0
28487,0,2,7,1,0
28488,1,1,9,9,0
28489,0,7,5,1,0
28490,1,2,3,2,0
28491,0,3,7,8,0
28492,1,2,3,6,0
28493,1,4,2,0,0
28494,0,7,6,3,0
28495,1,3,0,3,0
28496,0,9,2,6,0
28497,1,1,1,0,0
28498,0,4,4,9,0
28499,1,3,3,3,0
28500,1,1,7,4,0
28501,0,9,2,4,0
28502,1,1,0,0,0
28503,1,2,2,7,0
28504,1,2,7,1,0
28505,1,5,0,8,0
28506,1,0,2,3,0
28507,1,2,3,7,0
28508,0,3,6,4,0
28509,1,0,9,7,0
28510,0,7,0,9,0
28511,1,3,0,8,0
28512,1,2,5,3,0
28513,1,0,2,0,0
28514,0,9,9,5,0
28515,0,7,8,8,0
28516,0,9,3,1,0
28517,1,3,3,5,0
28518,1,6,0,2,0
28519,0,6,9,8,0
28520,1,0,6,5,0
28521,0,4,2,2,0
28522,1,5,6,3,0
28523,1,4,5,6,0
28524,1,0,7,6,0
28525,0,7,2,6,0
28526,0,4,9,4,0
28527,0,5,0,1,0
28528,0,5,6,5,0
28529,0,9,3,7,0
28530,0,7,8,5,0
28531,1,1,7,2,0
28532,1,0,4,6,0
28533,1,3,7,0,0
28534,1,1,9,4,0
28535,1,1,9,5,0
28536,1,0,7,2,0
28537,0,7,2,5,0
28538,1,2,6,0,0
28539,0,4,2,2,0
28540,0,7,5,4,0
28541,1,3,7,0,0
28542,1,5,7,5,0
28543,1,1,5,0,0
28544,1,2,2,9,0
28545,1,8,0,5,0
28546,1,7,8,8,0
28547,1,1,8,4,0
28548,0,3,6,7,0
28549,1,2,0,2,0
28550,0,6,5,0,0
28551,0,6,6,2,0
28552,0,8,2,2,0
28553,0,2,5,1,0
28554,0,7,4,9,0
28555,0,4,8,0,0
28556,1,2,3,8,0
28557,1,1,8,3,0
28558,0,9,9,0,0
28559,1,4,7,1,0
28560,0,8,2,3,0
28561,1,0,1,3,0
28562,0,4,1,3,0
28563,0,9,9,2,0
28564,1,1,4,1,0
28565,1,0,9,3,0
28566,1,2,9,3,0
28567,1,4,3,9,0
28568,0,6,1,1,0
28569,0,6,5,9,0
28570,1,5,2,2,0
28571,1,1,4,8,0
28572,1,5,8,3,0
28573,0,1,9,8,0
28574,1,2,2,6,0
28575,0,2,4,7,0
28576,0,4,5,3,0
28577,1,4,3,2,0
28578,0,8,7,0,0
28579,1,2,9,9,0
28580,0,5,9,1,0
28581,0,2,3,4,0
28582,0,4,3,3,0
28583,0,9,6,7,0
28584,1,0,5,4,0
28585,1,4,1,2,0
28586,1,9,1,3,0
28587,0,7,7,4,0
28588,0,4,5,6,0
28589,0,8,5,4,0
28590,0,7,7,2,0
28591,0,8,3,8,0
28592,1,5,8,0,0
28593,0,7,4,8,0
28594,0,8,1,1,0
28595,0,9,6,6,0
28596,1,5,8,5,0
28597,1,1,0,2,0
28598,1,6,6,9,0
28599,0,9,3,9,0
28600,0,4,2,2,0
28601,1,0,3,4,0
28602,0,6,0,6,0
28603,0,5,9,0,0
28604,1,0,6,3,0
28605,1,4,1,5,0
28606,0,7,4,4,0
28607,1,3,4,8,0
28608,1,2,2,8,0
28609,0,8,4,6,0
28610,0,4,9,1,0
28611,1,1,2,3,0
28612,0,5,5,7,0
28613,1,0,9,5,0
28614,1,4,9,5,0
28615,1,2,1,8,0
28616,0,9,7,7,0
28617,0,1,2,4,0
28618,0,4,7,9,0
28619,0,9,5,5,0
28620,0,7,0,1,0
28621,1,4,2,6,0
28622,0,7,6,1,0
28623,0,7,8,7,0
28624,1,1,0,4,0
28625,1,4,6,2,0
28626,0,6,7,2,0
28627,0,4,1,2,0
28628,0,9,4,9,0
28629,0,1,7,3,0
28630,1,0,3,9,0
28631,1,1,6,1,0
28632,1,1,4,1,0
28633,1,1,0,5,0
28634,0,2,0,1,0
28635,0,8,9,0,0
28636,1,2,1,6,0
28637,0,8,6,0,0
28638,0,7,5,8,0
28639,1,9,3,6,0
28640,1,0,5,8,0
28641,1,4,7,4,0
28642,1,6,7,7,0
28643,0,9,1,0,0
28644,1,3,2,1,0
28645,1,4,4,2,0
28646,0,2,5,3,0
28647,0,8,1,1,0
28648,1,1,8,2,0
28649,1,6,4,0,0
28650,0,8,3,3,0
28651,1,0,6,2,0
28652,1,1,4,3,0
28653,0,6,0,2,0
28654,1,1,9,0,0
28655,0,5,4,4,0
28656,1,4,9,8,0
28657,1,5,2,7,0
28658,1,1,3,3,0
28659,0,8,1,8,0
28660,0,5,1,2,0
28661,0,6,5,0,0
28662,0,8,8,1,0
28663,0,8,6,5,0
28664,1,3,1,1,0
28665,0,8,3,1,0
28666,0,9,8,6,0
28667,1,2,4,0,0
28668,1,2,0,0,0
28669,0,6,1,6,0
28670,1,1,4,7,0
28671,0,9,2,6,0
28672,1,3,4,7,0
28673,0,5,0,8,0
28674,1,1,8,4,0
28675,1,0,0,9,0
28676,1,3,4,3,0
28677,0,4,2,9,0
28678,0,7,4,1,0
28679,0,3,3,3,0
28680,0,4,1,2,0
28681,1,5,1,0,0
28682,0,8,9,4,0
28683,1,1,0,5,0
28684,0,8,9,8,0
28685,1,3,1,4,0
28686,1,4,9,4,0
28687,1,3,2,1,0
28688,0,9,0,1,0
28689,0,2,5,9,0
28690,1,6,0,1,0
28691,1,0,0,6,0
28692,0,7,2,2,0
28693,0,4,1,5,0
28694,1,3,7,6,0
28695,1,2,3,6,0
28696,0,9,1,8,0
28697,0,6,0,1,0
28698,0,8,0,1,0
28699,1,2,9,9,0
28700,0,4,2,9,0
28701,1,5,7,5,0
28702,0,9,8,0,0
28703,0,4,1,0,0
28704,1,2,9,4,0
28705,0,8,6,2,0
28706,0,8,9,1,0
28707,0,8,8,1,0
28708,0,9,0,4,0
28709,1,1,3,0,0
28710,1,2,4,8,0
28711,0,8,7,6,0
28712,1,6,0,3,0
28713,1,2,5,9,0
28714,1,1,4,0,0
28715,0,9,3,0,0
28716,0,5,7,7,0
28717,0,2,9,4,0
28718,1,3,7,5,0
28719,0,9,9,4,0
28720,0,2,4,7,0
28721,1,4,2,2,0
28722,1,2,0,9,0
28723,0,5,7,7,0
28724,0,7,3,5,0
28725,1,0,7,4,0
28726,0,9,4,9,0
28727,0,9,5,4,0
28728,0,6,6,2,0
28729,0,1,6,3,0
28730,1,4,2,5,0
28731,1,5,1,9,0
28732,1,7,3,4,0
28733,0,8,1,6,0
28734,0,6,9,5,0
28735,1,8,4,7,0
28736,0,8,7,3,0
28737,1,2,9,4,0
28738,0,6,9,0,0
28739,1,3,9,8,0
28740,1,6,5,0,0
28741,1,3,2,8,0
28742,0,6,2,9,0
28743,1,4,4,5,0
28744,0,8,4,7,0
28745,0,4,4,5,0
28746,0,9,9,0,0
28747,0,6,2,7,0
28748,1,6,8,4,0
28749,0,8,8,8,0
28750,0,7,2,8,0
28751,1,0,6,9,0
28752,0,6,2,4,0
28753,1,7,0,8,0
28754,1,3,6,4,0
28755,1,0,0,3,0
28756,1,2,8,6,0
28757,1,6,4,4,0
28758,0,9,3,2,0
28759,0,8,5,8,0
28760,0,3,8,5,0
28761,1,1,4,7,0
28762,1,0,8,8,0
28763,0,8,6,9,0
28764,0,6,0,9,0
28765,0,7,1,1,0
28766,0,9,1,5,0
28767,0,6,5,5,0
28768,0,0,5,4,0
28769,0,4,3,1,0
28770,0,7,0,5,0
28771,1,0,6,8,0
28772,1,0,7,7,0
28773,0,9,7,8,0
28774,0,8,1,8,0
28775,1,5,3,6,0
28776,0,5,0,2,0
28777,1,5,4,2,0
28778,1,5,1,2,0
28779,0,5,6,3,0
28780,1,3,7,8,0
28781,1,0,0,5,0
28782,0,5,9,9,0
28783,0,4,5,3,0
28784,0,9,0,4,0
28785,1,4,8,8,0
28786,1,2,8,6,0
28787,0,8,2,4,0
28788,0,5,8,1,0
28789,1,0,4,3,0
28790,1,2,1,1,0
28791,0,3,0,1,0
28792,0,6,9,8,0
28793,0,8,1,3,0
28794,0,2,8,0,0
28795,0,8,0,3,0
28796,0,8,4,3,0
28797,1,2,1,0,0
28798,0,6,0,4,0
28799,0,8,9,1,0
28800,0,3,0,9,0
28801,0,8,5,8,0
28802,1,0,4,9,0
28803,0,6,4,9,0
28804,1,2,1,0,0
28805,0,8,3,1,0
28806,1,6,7,3,0
28807,0,9,3,9,0
28808,0,7,2,5,0
28809,1,3,6,2,0
28810,0,9,2,1,0
28811,1,1,7,2,0
28812,0,5,6,8,0
28813,0,5,3,2,0
28814,0,7,9,7,0
28815,1,0,4,6,0
28816,0,5,2,2,0
28817,0,5,5,6,0
28818,1,2,8,1,0
28819,0,6,8,3,0
28820,1,5,4,6,0
28821,1,3,4,4,0
28822,1,1,5,9,0
28823,0,4,1,9,0
28824,1,2,2,4,0
28825,1,2,7,9,0
28826,1,5,6,5,0
28827,0,8,8,0,0
28828,0,8,6,9,0
28829,1,0,0,0,0
28830,0,2,4,2,0
28831,1,3,5,7,0
28832,1,4,4,8,0
28833,1,3,0,9,0
28834,0,7,8,6,0
28835,0,5,4,0,0
28836,1,6,9,3,0
28837,1,2,7,7,0
28838,1,1,0,0,0
28839,1,2,5,2,0
28840,1,3,2,9,0
28841,1,3,7,9,0
28842,0,5,8,3,0
28843,1,1,3,8,0
28844,1,0,1,1,0
28845,1,0,2,6,0
28846,0,7,0,4,0
28847,0,9,8,9,0
28848,0,8,0,1,0
28849,0,4,9,7,0
28850,1,8,8,8,0
28851,0,6,1,9,0
28852,1,4,4,0,0
28853,1,4,9,0,0
28854,1,0,5,6,0
28855,0,9,6,3,0
28856,1,6,3,1,0
28857,1,0,3,0,0
28858,0,6,0,5,0
28859,1,4,2,5,0
28860,1,3,1,9,0
28861,1,3,8,3,0
28862,1,0,7,0,0
28863,1,2,2,3,0
28864,0,7,5,5,0
28865,1,5,4,7,0
28866,0,9,7,3,0
28867,1,4,4,6,0
28868,1,6,5,4,0
28869,1,0,7,7,0
28870,1,3,5,0,0
28871,0,8,0,4,0
28872,0,6,0,7,0
28873,1,2,9,4,0
28874,0,8,0,8,0
28875,1,6,1,1,0
28876,1,2,8,9,0
28877,1,1,8,4,0
28878,1,0,8,9,0
28879,0,8,1,8,0
28880,1,3,1,2,0
28881,1,5,3,7,0
28882,0,5,1,7,0
28883,1,1,0,7,0
28884,0,8,3,5,0
28885,1,3,5,6,0
28886,1,2,4,8,0
28887,1,4,4,4,0
28888,1,1,0,4,0
28889,1,4,2,7,0
28890,1,1,1,8,0
28891,1,0,0,7,0
28892,0,6,3,1,0
28893,0,8,9,3,0
28894,1,4,6,1,0
28895,1,1,7,4,0
28896,0,2,3,6,0
28897,0,6,0,3,0
28898,0,1,1,5,0
28899,0,9,1,6,0
28900,0,4,9,4,0
28901,0,8,2,9,0
28902,0,8,5,4,0
28903,0,6,4,7,0
28904,0,4,2,8,0
28905,0,1,6,7,0
28906,0,5,2,2,0
28907,0,3,9,5,0
28908,0,8,1,8,0
28909,0,8,1,8,0
28910,0,6,0,0,0
28911,0,7,0,4,0
28912,0,5,4,4,0
28913,0,9,6,6,0
28914,0,3,6,8,0
28915,1,7,3,1,0
28916,0,7,9,7,0
28917,1,1,1,3,0
28918,0,6,2,3,0
28919,0,7,0,6,0
28920,0,8,6,4,0
28921,0,3,9,7,0
28922,1,0,8,2,0
28923,1,3,7,0,0
28924,1,7,3,9,0
28925,1,3,3,5,0
28926,0,2,5,2,0
28927,1,1,2,6,0
28928,1,2,9,5,0
28929,1,3,0,3,0
28930,0,7,1,5,0
28931,1,6,1,9,0
28932,0,3,8,5,0
28933,1,0,1,5,0
28934,0,6,9,6,0
28935,1,4,3,3,0
28936,1,6,5,0,0
28937,0,9,3,7,0
28938,0,5,7,8,0
28939,0,4,7,8,0
28940,0,8,2,3,0
28941,0,2,6,5,0
28942,1,6,9,6,0
28943,0,4,4,8,0
28944,0,7,2,4,0
28945,0,3,8,7,0
28946,1,1,4,6,0
28947,0,8,6,2,0
28948,1,6,8,9,0
28949,0,5,7,0,0
28950,1,2,7,9,0
28951,0,8,7,6,0
28952,1,1,4,9,0
28953,1,5,1,6,0
28954,0,6,1,9,0
28955,0,6,7,2,0
28956,1,0,4,2,0
28957,0,1,4,0,0
28958,0,8,2,9,0
28959,0,7,9,6,0
28960,0,7,9,3,0
28961,0,6,5,9,0
28962,1,0,1,4,0
28963,0,9,2,8,0
28964,1,1,5,0,0
28965,1,0,3,3,0
28966,1,0,0,3,0
28967,1,2,1,7,0
28968,1,1,2,1,0
28969,1,5,5,2,0
28970,1,3,7,6,0
28971,1,4,4,4,0
28972,1,5,4,7,0
28973,0,4,7,8,0
28974,1,1,2,7,0
28975,1,3,1,1,0
28976,1,3,1,1,0
28977,0,4,0,2,0
28978,0,5,0,1,0
28979,1,2,7,1,0
28980,1,0,5,7,0
28981,0,7,4,1,0
28982,0,7,0,8,0
28983,0,8,8,8,0
28984,1,2,1,7,0
28985,0,9,1,8,0
28986,1,5,8,4,0
28987,1,3,9,3,0
28988,1,3,3,5,0
28989,1,1,6,4,0
28990,1,6,3,0,0
28991,1,3,4,4,0
28992,1,2,4,5,0
28993,1,1,6,3,0
28994,1,1,7,7,0
28995,1,0,4,1,0
28996,0,8,1,1,0
28997,1,2,1,2,0
28998,0,7,6,5,0
28999,0,7,3,3,0
29000,1,0,1,7,0
29001,0,1,9,6,0
29002,1,2,6,0,0
29003,1,1,1,9,0
29004,1,7,6,2,0
29005,1,2,2,2,0
29006,1,3,3,6,0
29007,1,5,1,8,0
29008,0,3,9,9,0
29009,0,3,8,1,0
29010,1,3,1,7,0
29011,1,7,9,6,0
29012,0,8,2,7,0
29013,1,6,8,6,0
29014,0,9,6,8,0
29015,1,1,6,0,0
29016,0,3,8,1,0
29017,1,2,4,2,0
29018,0,5,0,4,0
29019,1,4,8,6,0
29020,0,9,2,8,0
29021,1,1,2,1,0
29022,1,1,0,6,0
29023,0,8,3,3,0
29024,0,8,8,6,0
29025,1,4,1,9,0
29026,0,5,9,6,0
29027,1,2,0,6,0
29028,0,3,1,4,0
29029,0,9,0,2,0
29030,1,8,3,8,0
29031,0,7,7,5,0
29032,1,1,5,3,0
29033,0,7,7,3,0
29034,0,4,1,7,0
29035,1,0,5,0,0
29036,0,9,3,9,0
29037,1,0,3,1,0
29038,1,6,0,0,0
29039,1,3,6,5,0
29040,1,2,3,7,0
29041,1,4,2,1,0
29042,1,3,3,7,0
29043,1,5,0,9,0
29044,0,9,5,7,0
29045,0,7,0,9,0
29046,0,9,5,5,0
29047,0,8,5,9,0
29048,0,9,6,1,0
29049,0,8,2,8,0
29050,1,0,0,1,0
29051,0,8,9,2,0
29052,1,0,2,1,0
29053,0,7,1,2,0
29054,1,5,9,9,0
29055,0,5,7,8,0
29056,1,7,4,4,0
29057,0,7,7,5,0
29058,0,4,0,8,0
29059,1,4,3,2,0
29060,1,4,2,5,0
29061,0,1,9,9,0
29062,0,9,8,3,0
29063,1,4,0,3,0
29064,1,3,1,3,0
29065,1,2,0,7,0
29066,0,9,6,4,0
29067,1,3,0,2,0
29068,0,1,8,1,0
29069,1,4,5,2,0
29070,0,9,7,3,0
29071,1,2,2,6,0
29072,0,3,3,2,0
29073,1,4,0,4,0
29074,0,8,6,3,0
29075,0,5,6,0,0
29076,0,8,0,1,0
29077,1,5,8,6,0
29078,1,2,1,2,0
29079,1,6,2,5,0
29080,1,3,8,9,0
29081,0,6,5,4,0
29082,1,6,3,0,0
29083,1,0,8,3,0
29084,1,2,8,2,0
29085,1,7,1,8,0
29086,1,6,0,7,0
29087,0,9,4,5,0
29088,1,4,3,2,0
29089,0,3,2,0,0
29090,0,6,4,4,0
29091,0,8,5,4,0
29092,1,6,4,5,0
29093,0,5,0,2,0
29094,1,6,5,4,0
29095,0,9,7,4,0
29096,0,6,2,3,0
29097,0,2,5,6,0
29098,1,2,0,0,0
29099,1,1,6,6,0
29100,1,2,3,8,0
29101,0,9,8,2,0
29102,0,8,7,3,0
29103,0,5,9,2,0
29104,1,3,8,7,0
29105,1,0,3,5,0
29106,0,2,8,5,0
29107,0,3,9,8,0
29108,1,1,8,2,0
29109,1,8,2,6,0
29110,0,9,3,0,0
29111,1,5,8,0,0
29112,1,1,7,6,0
29113,1,7,4,8,0
29114,0,5,5,6,0
29115,1,2,4,6,0
29116,0,9,6,6,0
29117,0,2,7,5,0
29118,1,1,2,7,0
29119,1,0,0,6,0
29120,0,6,4,6,0
29121,0,5,5,2,0
29122,0,8,6,8,0
29123,0,6,5,6,0
29124,1,2,9,4,0
29125,1,8,1,5,0
29126,0,6,0,2,0
29127,1,1,6,1,0
29128,1,6,1,7,0
29129,0,6,1,6,0
29130,1,1,3,0,0
29131,0,5,8,1,0
29132,0,9,7,9,0
29133,1,5,0,1,0
29134,1,5,1,9,0
29135,1,5,9,8,0
29136,1,6,2,9,0
29137,0,4,1,9,0
29138,0,9,6,9,0
29139,0,5,1,7,0
29140,1,6,9,0,0
29141,1,0,6,4,0
29142,0,1,6,2,0
29143,1,3,3,7,0
29144,0,7,3,0,0
29145,0,9,9,5,0
29146,0,8,1,7,0
29147,1,0,8,2,0
29148,1,0,6,3,0
29149,0,6,3,8,0
29150,1,7,1,0,0
29151,1,2,2,9,0
29152,0,1,8,3,0
29153,1,5,8,5,0
29154,1,7,3,0,0
29155,1,4,8,9,0
29156,1,1,9,0,0
29157,0,3,3,3,0
29158,0,6,7,1,0
29159,0,5,3,7,0
29160,1,0,3,4,0
29161,0,9,5,0,0
29162,0,9,5,0,0
29163,1,6,2,5,0
29164,0,8,2,7,0
29165,0,4,0,0,0
29166,1,7,6,1,0
29167,1,2,1,0,0
29168,1,8,8,9,0
29169,1,1,8,8,0
29170,0,5,0,7,0
29171,1,3,9,1,0
29172,1,1,5,7,0
29173,0,8,3,0,0
29174,1,0,7,3,0
29175,0,1,1,2,0
29176,0,8,3,7,0
29177,1,6,7,5,0
29178,1,1,2,2,0
29179,1,2,9,4,0
29180,0,9,0,5,0
29181,1,3,6,6,0
29182,1,0,9,9,0
29183,0,9,0,2,0
29184,0,2,6,2,0
29185,0,8,0,0,0
29186,1,7,3,4,0
29187,1,5,3,3,0
29188,1,7,3,1,0
29189,0,5,6,8,0
29190,0,8,8,5,0
29191,0,9,5,2,0
29192,0,7,6,6,0
29193,0,6,0,1,0
29194,0,8,7,2,0
29195,1,0,8,6,0
29196,0,6,9,0,0
29197,1,0,1,9,0
29198,1,1,3,0,0
29199,0,3,9,4,0
29200,1,6,0,3,0
29201,0,3,4,9,0
29202,1,1,1,0,0
29203,0,7,3,6,0
29204,1,3,4,8,0
29205,1,5,9,6,0
29206,0,8,2,1,0
29207,1,4,5,4,0
29208,1,3,4,2,0
29209,0,7,6,3,0
29210,1,1,5,8,0
29211,1,0,8,9,0
29212,0,0,3,3,0
29213,1,2,3,0,0
29214,0,5,8,9,0
29215,0,6,9,8,0
29216,0,7,8,4,0
29217,1,4,7,2,0
29218,1,6,9,6,0
29219,1,0,6,9,0
29220,0,3,7,1,0
29221,1,2,8,6,0
29222,0,2,7,3,0
29223,1,6,6,5,0
29224,0,5,9,8,0
29225,1,4,8,5,0
29226,0,6,1,1,0
29227,1,5,6,2,0
29228,0,8,9,4,0
29229,1,0,6,4,0
29230,1,3,5,8,0
29231,1,1,7,9,0
29232,0,3,9,7,0
29233,0,7,5,5,0
29234,1,1,4,7,0
29235,1,1,1,7,0
29236,1,2,6,7,0
29237,0,8,0,4,0
29238,0,3,3,8,0
29239,1,4,2,1,0
29240,1,3,0,5,0
29241,0,4,8,1,0
29242,1,0,8,2,0
29243,0,9,1,0,0
29244,0,7,4,2,0
29245,1,0,1,7,0
29246,0,4,9,2,0
29247,1,1,3,7,0
29248,0,9,2,7,0
29249,1,8,3,6,0
29250,0,7,5,1,0
29251,1,1,0,5,0
29252,1,0,2,6,0
29253,0,9,7,3,0
29254,0,9,0,8,0
29255,0,7,8,8,0
29256,1,0,8,0,0
29257,1,5,3,6,0
29258,1,2,7,3,0
29259,0,9,1,5,0
29260,1,4,2,7,0
29261,0,6,9,9,0
29262,1,4,6,3,0
29263,1,0,8,4,0
29264,1,0,9,8,0
29265,1,0,1,7,0
29266,0,7,6,9,0
29267,1,1,8,7,0
29268,1,4,3,4,0
29269,1,4,8,5,0
29270,1,1,4,3,0
29271,1,2,3,5,0
29272,1,3,6,7,0
29273,1,8,1,1,0
29274,0,9,6,3,0
29275,1,1,5,5,0
29276,1,1,0,9,0
29277,0,8,0,4,0
29278,0,6,1,8,0
29279,0,3,2,7,0
29280,1,5,3,2,0
29281,0,4,0,0,0
29282,0,8,9,6,0
29283,0,7,8,0,0
29284,1,3,3,6,0
29285,0,7,5,6,0
29286,0,1,8,8,0
29287,0,4,6,8,0
29288,0,7,8,5,0
29289,1,0,2,2,0
29290,1,3,7,8,0
29291,1,6,1,1,0
29292,1,1,3,7,0
29293,0,5,5,0,0
29294,1,4,5,8,0
29295,1,0,5,6,0
29296,1,3,9,4,0
29297,0,8,7,5,0
29298,0,4,2,4,0
29299,0,8,7,2,0
29300,1,0,8,5,0
29301,0,7,5,7,0
29302,1,1,8,7,0
29303,1,4,7,2,0
29304,1,2,3,6,0
29305,1,4,4,0,0
29306,1,2,5,3,0
29307,1,3,0,0,0
29308,0,9,4,6,0
29309,0,9,3,5,0
29310,1,5,8,7,0
29311,1,2,2,8,0
29312,0,9,8,8,0
29313,0,7,7,1,0
29314,1,7,3,6,0
29315,1,3,7,5,0
29316,0,5,1,9,0
29317,0,6,2,0,0
29318,1,0,1,8,0
29319,0,3,0,6,0
29320,1,7,9,2,0
29321,1,1,2,3,0
29322,1,1,2,4,0
29323,0,6,3,8,0
29324,0,8,6,9,0
29325,1,2,1,2,0
29326,1,6,6,9,0
29327,1,2,7,3,0
29328,0,6,2,4,0
29329,1,4,1,8,0
29330,1,3,4,9,0
29331,1,4,8,5,0
29332,0,2,8,9,0
29333,0,7,0,7,0
29334,1,8,4,9,0
29335,1,1,2,8,0
29336,0,4,3,7,0
29337,0,8,0,4,0
29338,1,3,3,2,0
29339,0,4,0,5,0
29340,0,8,7,7,0
29341,1,1,7,5,0
29342,1,5,6,1,0
29343,1,1,6,0,0
29344,0,8,4,2,0
29345,1,0,2,5,0
29346,1,5,9,7,0
29347,1,4,1,9,0
29348,0,2,2,4,0
29349,0,3,8,8,0
29350,1,2,6,7,0
29351,0,8,7,0,0
29352,0,3,7,4,0
29353,1,0,9,0,0
29354,0,5,4,1,0
29355,0,5,2,8,0
29356,0,8,3,4,0
29357,1,0,5,8,0
29358,1,2,9,2,0
29359,1,3,1,9,0
29360,1,0,1,7,0
29361,1,0,4,9,0
29362,1,0,2,7,0
29363,0,5,3,1,0
29364,0,8,6,0,0
29365,1,6,3,8,0
29366,0,6,8,8,0
29367,0,3,4,6,0
29368,0,8,7,0,0
29369,0,9,8,7,0
29370,1,4,5,6,0
29371,1,3,9,5,0
29372,1,8,6,8,0
29373,1,2,9,3,0
29374,1,6,0,8,0
29375,1,2,9,6,0
29376,0,9,2,3,0
29377,0,0,5,8,0
29378,1,5,9,8,0
29379,1,1,9,2,0
29380,0,4,8,3,0
29381,1,0,3,1,0
29382,0,9,9,6,0
29383,0,4,6,5,0
29384,0,6,3,8,0
29385,1,2,7,2,0
29386,1,1,9,1,0
29387,0,3,5,9,0
29388,1,0,4,8,0
29389,0,7,8,8,0
29390,1,0,9,3,0
29391,0,7,2,3,0
29392,0,0,6,7,0
29393,0,6,3,9,0
29394,1,1,8,7,0
29395,0,6,7,4,0
29396,1,3,6,0,0
29397,0,6,5,8,0
29398,0,7,0,2,0
29399,0,8,4,7,0
29400,0,6,2,1,0
29401,0,6,5,8,0
29402,0,8,0,7,0
29403,0,9,1,0,0
29404,1,2,3,1,0
29405,0,6,1,5,0
29406,1,2,7,5,0
29407,1,5,9,2,0
29408,1,7,3,4,0
29409,0,8,3,7,0
29410,0,9,9,2,0
29411,1,5,3,9,0
29412,0,4,3,5,0
29413,1,4,6,1,0
29414,0,6,6,0,0
29415,0,9,5,0,0
29416,0,4,1,5,0
29417,0,9,7,2,0
29418,1,5,9,1,0
29419,1,0,6,4,0
29420,1,3,6,6,0
29421,0,8,6,0,0
29422,1,7,4,4,0
29423,1,1,8,6,0
29424,1,0,5,8,0
29425,0,2,2,2,0
29426,0,4,1,2,0
29427,1,1,4,8,0
29428,0,8,1,5,0
29429,1,1,2,3,0
29430,0,2,7,0,0
29431,0,9,0,3,0
29432,1,2,9,6,0
29433,1,1,3,0,0
29434,0,5,4,5,0
29435,0,5,8,6,0
29436,0,6,2,3,0
29437,1,1,8,5,0
29438,0,9,1,6,0
29439,0,3,5,5,0
29440,1,2,0,2,0
29441,1,0,0,7,0
29442,1,3,6,4,0
29443,1,0,7,9,0
